ZIP,Total_Population,PM25,PM25_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
91724,4905.86,11.33,67.06,44.28,47.01,7.41,43.34,12,57.61,42,52.83
91730,5531.17,12.89,92.89,42.57,45.15,10.37,74.24,17,74.04,92,89.45
91731,4518.12,11.32,66.96,44.57,48.42,7.53,44.05,8,42.65,40,50.6
91732,4616.31,11.53,71.43,59.02,66.57,7.61,45.39,14,65,63,70.8
91733,3804,12.01,80.41,52.59,59.6,8.49,56.99,12,57.61,64,71.55
91737,5308.33,12.61,86.96,27.53,20.52,8.48,56.82,3,23.66,27,37.72
91739,8501.8,12.89,91.26,26.06,18.88,7.8,48.09,11,54.3,30,40.73
91740,4381,11.21,66.23,48.66,54.52,7.49,43.92,15,68.43,71,77.69
91741,3621.38,11,61.59,36.61,35.67,7.07,38.24,10,50.41,40,50.6
91744,4935.75,11.32,66.96,61.43,69.42,9.65,69.21,26,91.26,119,96.57
91745,3971.79,12.02,80.77,45.61,50.29,9.61,70.39,23,86.81,95,90.35
91746,4662.62,11.68,73.11,45.67,50.02,8.51,56.95,9,46.16,34,44.08
91748,4292.18,11.52,68.35,28.9,23.18,6.28,27.73,15,68.43,54,63.49
91750,4724.14,11.51,68.42,33.31,30.73,7.49,43.63,17,74.04,79,82.78
91752,5286.57,14.21,94.97,38.34,38.69,10.63,76.29,5,30.78,46,56.59
91754,3615.56,12.1,81.92,32.59,29.49,5.68,20.06,31,95.78,64,71.55
91755,4956.17,11.98,79.57,23.08,12.71,4.15,5.77,15,68.43,64,71.55
91761,5035.62,13.18,93.45,46.92,51.66,12.78,89.39,13,61.23,57,66.28
91762,4867,12.89,92.89,62.69,71.05,11.57,84.04,16,71.48,90,88.58
91763,5499.88,12.89,92.89,65,72.48,11.22,80.2,8,42.65,57,66.28
91764,4831.09,12.93,92.96,66.16,73.2,10.57,76.71,17,74.04,47,57.54
91765,5057,12.05,80.53,22.73,12.41,7.07,38.51,13,61.23,66,73.47
91766,5253.23,12.79,90.84,66.35,74.48,9.7,70.23,22,84.82,62,70.12
91767,5018.56,12.7,89.66,68.31,74.9,8.26,53.44,16,71.48,84,85.23
91768,3931.22,12.28,83.68,69.03,75.86,8.21,53.23,12,57.61,38,47.78
91770,4357.79,11.66,73.47,35.05,33.47,6.16,26.28,25,89.9,74,79.65
91773,4976.71,11.39,66.36,37.18,37.24,7.4,42.63,11,54.3,102,92.8
91775,4015.33,11,60.36,18.95,7.11,4.15,5.76,6,34.89,51,61.34
91776,5399.14,11.21,66.23,26.16,18.19,6.4,29.24,12,57.61,70,76.79
91780,4776.43,11.21,66.23,23.35,13.11,6.28,27.58,20,81.09,57,66.28
91784,3865.86,12.47,84.41,30.12,25.36,7.36,42.36,13,61.23,61,69.25
91786,4538.73,12.81,91.27,73.72,80.34,11.04,81.62,15,68.43,110,94.5
91789,3697.9,11.71,72.6,23.93,14.35,6.98,37.16,21,82.86,64,71.55
91790,4995.62,11.21,66.23,43.14,46.44,8.21,53.04,19,78.79,69,75.77
91791,4000.14,11.21,66.23,36.2,35.64,7.19,39.72,23,86.81,70,76.79
91792,4086.78,11.3,66.88,34.17,31.92,6.31,28.32,15,68.43,42,52.83
91801,4259,11.35,67.2,32.87,29.71,6.12,26.09,29,94.27,92,89.45
91803,3997.62,11.79,73.83,30.2,25.43,5.44,18.46,11,54.3,60,68.24
91901,4547.75,11.84,72.85,29.68,24.53,6.33,28.06,10,50.41,35,44.88
91902,5300.2,11.71,71.53,35.09,32.99,6.23,27.36,15,68.43,33,43.14
91906,7589,9.5,32.7,40.32,42.43,6.63,32.08,2,19.29,7,15.34
