ZIP,Total_Population,PM2.5,PM2.5_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
90731,3579.69,11.21,66.23,78.41,81.93,9.09,64.21,23.0,86.81,96.0,90.62
90732,3408.14,11.21,66.23,42.96,45.03,5.44,18.75,12.0,57.61,53.0,62.58
90740,3136.43,11.21,66.23,24.97,16.09,7.5,44.03,41.0,99.36,156.0,99.4
90742,1253.0,11.21,66.23,11.16,1.16,3.09,0.8,1.0,13.11,6.0,13.72
90744,3501.67,11.21,66.23,66.21,74.24,9.91,71.67,12.0,57.61,70.0,76.79
90745,4446.23,11.44,68.54,49.6,56.98,8.14,59.29,27.0,92.39,114.0,95.4
90746,4992.75,12.05,81.66,85.02,86.74,8.75,59.81,15.0,68.43,59.0,67.48
90747,5418.0,12.05,81.66,61.08,70.37,6.86,35.36,,,,
90755,3692.33,11.21,66.23,41.24,43.97,7.69,46.62,7.0,39.11,14.0,23.62
90802,4016.4,11.21,66.23,70.85,76.49,7.94,49.26,10.0,50.41,77.0,81.57
90803,3622.8,11.21,66.23,24.41,17.9,6.4,34.86,15.0,68.43,70.0,76.79
90804,4898.38,11.21,66.23,79.05,83.84,9.81,71.41,14.0,65.0,60.0,68.24
90805,4847.32,11.7,73.14,79.85,84.13,9.86,72.09,27.0,92.39,133.0,97.93
90806,4444.4,11.21,66.23,85.62,86.87,9.76,70.81,19.0,78.79,61.0,69.25
90807,3930.88,11.21,66.23,40.24,41.93,5.88,23.47,20.0,81.09,78.0,82.1
90808,4293.89,11.21,66.23,23.94,17.34,6.23,33.14,19.0,78.79,96.0,90.62
90810,3672.4,11.21,66.23,68.66,76.94,9.03,63.18,14.0,65.0,65.0,72.49
90813,4110.43,11.21,66.23,115.45,95.21,11.32,83.13,17.0,74.04,78.0,82.1
90814,5005.67,11.21,66.23,28.59,22.63,5.02,12.79,7.0,39.11,21.0,31.12
90815,3552.82,11.21,66.23,26.77,20.07,6.47,31.61,15.0,68.43,98.0,91.48
90840,1863.0,11.21,66.23,14.54,2.87,3.81,3.48,,,,
91001,5102.57,10.19,48.43,40.54,42.56,6.05,24.62,19.0,78.79,79.0,82.78
91006,4743.43,10.61,54.25,16.74,4.81,5.43,17.77,16.0,71.48,54.0,63.49
91007,4892.71,10.61,55.09,15.98,4.16,4.71,10.28,24.0,88.47,72.0,78.33
91008,1292.0,10.79,54.48,19.05,7.03,3.56,2.21,0.0,4.82,4.0,9.98
91010,5681.0,11.13,63.88,51.59,57.2,7.94,49.76,16.0,71.48,68.0,74.94
91011,3396.17,10.44,52.16,18.05,7.86,5.29,15.88,5.0,30.78,40.0,50.6
91016,4829.22,10.46,52.15,32.53,29.17,7.0,37.63,17.0,74.04,83.0,84.63
91020,6026.0,11.21,66.23,21.05,9.18,7.56,44.58,6.0,34.89,20.0,30.11
91024,5458.5,10.16,47.74,17.31,5.22,5.24,15.16,1.0,13.11,25.0,35.8
91030,5123.2,11.38,67.39,15.19,3.51,4.97,12.84,6.0,34.89,42.0,52.83
91040,4564.0,11.42,67.68,45.88,50.41,9.55,68.04,11.0,54.3,40.0,50.6
91042,3695.71,11.21,64.97,37.41,37.32,9.11,62.66,4.0,27.13,55.0,64.36
91101,4143.33,10.65,53.86,25.19,16.57,4.85,11.93,5.0,30.78,35.0,44.88
91103,4341.75,10.68,54.01,44.76,47.33,5.94,25.58,18.0,76.22,68.0,74.94
91104,4420.88,10.37,52.61,35.92,35.0,5.75,21.64,19.0,78.79,76.0,81.16
91105,3653.0,11.21,66.23,19.19,7.14,4.1,5.52,6.0,34.89,36.0,45.78
91106,4893.2,10.62,55.71,23.64,14.03,4.87,12.23,9.0,46.16,30.0,40.73
91107,3463.33,10.37,51.73,26.1,18.05,5.8,21.42,9.0,46.16,72.0,78.33
91108,6573.5,10.79,54.48,11.39,1.22,4.31,6.84,4.0,27.13,27.0,37.72
91201,4556.2,12.05,81.66,30.63,26.11,9.18,64.74,12.0,57.61,40.0,50.6
91202,3632.5,12.05,81.66,33.83,31.61,8.09,51.79,14.0,65.0,65.0,72.49
91203,4404.33,12.05,81.66,35.91,35.02,8.64,58.6,7.0,39.11,25.0,35.8
91204,4876.33,12.05,81.66,66.63,75.16,9.75,71.3,7.0,39.11,30.0,40.73
91205,4535.22,12.05,81.66,49.61,55.01,11.89,83.8,23.0,86.81,89.0,88.13
91206,4633.71,11.93,78.08,32.51,29.27,8.51,56.19,20.0,81.09,68.0,74.94
91207,6047.5,11.84,75.4,20.86,10.34,6.82,35.28,9.0,46.16,25.0,35.8
91208,7048.0,11.49,68.17,17.5,5.7,6.07,24.81,3.0,23.66,27.0,37.72
91214,5459.2,11.04,61.53,35.72,34.73,7.83,48.27,13.0,61.23,30.0,40.73
91301,4989.12,9.75,41.89,16.3,5.66,5.46,22.37,12.0,57.61,48.0,58.67
91302,6046.75,10.27,50.17,17.01,5.54,5.23,15.66,7.0,39.11,32.0,42.28
91303,4122.88,10.37,52.61,48.04,52.1,7.57,44.9,7.0,39.11,37.0,46.65
91304,3622.75,10.27,50.17,51.15,57.26,7.71,46.74,19.0,78.79,89.0,88.13
91306,4857.7,10.37,52.61,57.42,65.66,10.16,74.21,12.0,57.61,70.0,76.79
91307,4041.43,10.31,51.22,35.18,33.8,6.53,30.98,10.0,50.41,62.0,70.12
91311,3517.33,10.23,49.36,40.1,41.46,7.27,41.13,19.0,78.79,85.0,85.8
91316,4285.83,10.37,52.61,36.39,35.7,6.12,25.7,10.0,50.41,69.0,75.77
91320,4887.67,9.54,40.92,21.36,11.33,6.66,34.37,14.0,65.0,54.0,63.49
91321,5709.86,10.25,49.82,32.01,28.33,9.81,68.76,13.0,61.23,64.0,71.55
91324,4147.67,10.37,52.61,47.36,51.98,7.85,48.37,10.0,50.41,73.0,78.86
91325,4292.0,10.37,52.61,43.34,46.69,8.3,54.01,14.0,65.0,74.0,79.65
91326,3926.12,10.37,52.61,27.28,20.22,6.85,35.24,12.0,57.61,66.0,73.47
91330,2776.0,10.37,52.61,26.08,17.92,5.23,14.72,,,,
91331,4309.5,11.25,66.47,71.03,78.88,7.41,42.9,33.0,96.72,112.0,94.91
91335,4831.19,10.37,52.61,70.2,77.6,10.29,75.7,42.0,99.51,164.0,99.47
91340,5515.43,11.21,66.23,63.82,71.0,5.28,16.01,7.0,39.11,46.0,56.59
91342,3873.95,11.06,63.15,60.0,68.37,7.67,46.49,24.0,88.47,136.0,98.23
91343,3933.33,10.99,61.28,69.76,76.77,7.91,49.32,24.0,88.47,87.0,87.08
91344,3732.07,10.62,55.05,48.65,53.81,6.98,37.61,26.0,91.26,106.0,93.82
91345,3691.8,11.21,66.23,62.62,70.68,5.86,22.79,11.0,54.3,67.0,74.27
91350,3523.67,9.88,43.84,27.24,20.09,10.03,72.18,7.0,39.11,50.0,60.51
91351,4119.5,9.9,43.77,41.27,42.77,9.86,69.98,9.0,46.16,38.0,47.78
91352,3348.2,11.97,79.16,66.0,72.24,7.72,50.23,18.0,76.22,70.0,76.79
91354,4095.0,9.7,41.7,18.31,6.39,7.43,43.0,4.0,27.13,18.0,27.96
91355,4833.7,10.2,48.71,20.02,9.44,7.5,43.96,11.0,54.3,50.0,60.51
91356,3614.12,10.37,52.61,45.71,49.49,8.06,50.93,13.0,61.23,58.0,67.07
91360,4251.4,9.54,40.92,27.93,21.38,7.37,42.33,29.0,94.27,87.0,87.08
91361,4397.75,9.54,40.92,16.49,4.47,6.61,32.02,14.0,65.0,35.0,44.88
91362,4449.5,9.54,40.92,25.03,16.59,6.43,30.18,12.0,57.61,67.0,74.27
91364,4045.0,10.37,52.61,30.85,26.61,6.67,33.53,18.0,76.22,81.0,83.72
91367,3436.29,10.37,52.61,37.82,38.25,7.78,47.85,13.0,61.23,88.0,87.72
91371,2819.0,10.37,52.61,24.53,15.17,4.67,9.56,0.0,4.82,1.0,4.33
91377,3981.0,9.54,40.92,12.69,2.06,4.15,6.96,5.0,30.78,13.0,22.65
91381,6280.5,10.16,47.74,17.74,5.68,8.98,62.72,4.0,27.13,12.0,21.7
91384,4527.14,8.52,27.25,24.48,15.61,9.86,70.86,10.0,50.41,26.0,36.66
91387,4072.44,9.49,38.58,34.45,32.65,9.07,63.39,9.0,46.16,42.0,52.83
