Year,zipCode,causeOfDeath,Count
2016,92211,STK,29
2016,92213,STK,0
2016,92216,STK,0
2016,92220,STK,17
2016,92222,STK,0
2016,92223,STK,12
2016,92224,STK,0
2016,92225,STK,8
2016,92227,STK,10
2016,92228,STK,1
2016,92230,STK,2
2016,92231,STK,10
2016,92232,STK,0
2016,92233,STK,1
2016,92234,STK,21
2016,92236,STK,7
2016,92239,STK,0
2016,92240,STK,23
2016,92241,STK,6
2016,92242,STK,1
2016,92243,STK,19
2016,92244,STK,0
2016,92247,STK,0
2016,92249,STK,4
2016,92250,STK,1
2016,92251,STK,5
2016,92252,STK,5
2016,92253,STK,23
2016,92254,STK,1
2016,92256,STK,1
2016,92257,STK,2
2016,92258,STK,0
2016,92259,STK,0
2016,92260,STK,28
2016,92262,STK,17
2016,92263,STK,0
2016,92264,STK,16
2016,92266,STK,0
2016,92267,STK,0
2016,92268,STK,0
2016,92270,STK,15
2016,92272,STK,0
2016,92273,STK,0
2016,92274,STK,6
2016,92275,STK,3
2016,92276,STK,6
2016,92277,STK,3
2016,92278,STK,0
2016,92280,STK,0
2016,92281,STK,2
2016,92282,STK,0
2016,92283,STK,1
2016,92284,STK,13
2016,92285,STK,2
2016,92286,STK,0
2016,92287,STK,1
2016,92291,STK,0
2016,92301,STK,4
2016,92304,STK,0
2016,92305,STK,1
2016,92306,STK,0
2016,92307,STK,21
2016,92308,STK,22
2016,92309,STK,0
2016,92310,STK,0
2016,92311,STK,15
2016,92312,STK,1
2016,92313,STK,4
2016,92314,STK,1
2016,92315,STK,5
2016,92316,STK,4
2016,92317,STK,0
2016,92320,STK,10
2016,92321,STK,2
2016,92322,STK,1
2016,92323,STK,0
2016,92324,STK,17
2016,92325,STK,4
2016,92326,STK,0
2016,92327,STK,0
2016,92329,STK,0
2016,92330,STK,0
2016,92331,STK,0
2016,92332,STK,0
2016,92333,STK,1
2016,92334,STK,0
2016,92335,STK,18
2016,92336,STK,24
2016,92337,STK,9
2016,92338,STK,0
2016,92339,STK,0
2016,92340,STK,0
2016,92341,STK,0
2016,92342,STK,1
2016,92344,STK,9
2016,92345,STK,36
2016,92346,STK,24
2016,92347,STK,0
2016,92349,STK,0
2016,92350,STK,0
2016,92351,STK,0
2016,92352,STK,3
2016,92353,STK,0
2016,92354,STK,9
2016,92355,STK,0
2016,92356,STK,6
2016,92357,STK,0
2016,92358,STK,1
2016,92359,STK,6
2016,92360,STK,0
2016,92361,STK,0
2016,92363,STK,3
2016,92365,STK,0
2016,92366,STK,0
2016,92367,STK,0
2016,92368,STK,1
2016,92369,STK,0
2016,92370,STK,0
2016,92371,STK,9
2016,92372,STK,1
2016,92373,STK,19
2016,92374,STK,25
2016,92376,STK,27
2016,92377,STK,6
2016,92378,STK,0
2016,92382,STK,1
2016,92384,STK,0
2016,92385,STK,0
2016,92386,STK,0
2016,92387,STK,0
2016,92388,STK,0
2016,92389,STK,0
2016,92391,STK,0
2016,92392,STK,22
2016,92393,STK,1
2016,92394,STK,6
2016,92395,STK,31
2016,92396,STK,0
2016,92397,STK,1
2016,92398,STK,1
2016,92399,STK,35
2016,92401,STK,1
2016,92402,STK,0
2016,92403,STK,0
2016,92404,STK,37
2016,92405,STK,11
2016,92406,STK,0
2016,92407,STK,25
2016,92408,STK,4
2016,92409,STK,0
2016,92410,STK,15
2016,92411,STK,7
2016,92414,STK,1
2016,92415,STK,0
2016,92423,STK,0
2016,92436,STK,0
2016,92440,STK,0
2016,92446,STK,0
2016,92501,STK,9
2016,92502,STK,0
2016,92503,STK,26
2016,92504,STK,19
2016,92505,STK,15
2016,92506,STK,25
2016,92507,STK,14
2016,92508,STK,11
2016,92509,STK,27
2016,92517,STK,0
2016,92518,STK,0
2016,92520,STK,0
2016,92522,STK,0
2016,92525,STK,0
2016,92526,STK,0
2016,92530,STK,12
2016,92532,STK,2
2016,92533,STK,0
2016,92534,STK,0
2016,92535,STK,0
2016,92536,STK,0
2016,92539,STK,2
2016,92542,STK,0
2016,92543,STK,23
2016,92544,STK,35
2016,92545,STK,43
2016,92546,STK,0
2016,92547,STK,0
2016,92548,STK,0
2016,92549,STK,1
2016,92551,STK,9
2016,92553,STK,13
2016,92554,STK,0
2016,92555,STK,13
2016,92556,STK,0
2016,92557,STK,14
2016,92558,STK,1
2016,92560,STK,0
2016,92561,STK,0
2016,92562,STK,29
2016,92563,STK,23
2016,92565,STK,0
2016,92567,STK,4
2016,92568,STK,0
2016,92569,STK,0
2016,92570,STK,12
2016,92571,STK,9
2016,92572,STK,0
2016,92573,STK,0
2016,92575,STK,0
2016,92576,STK,0
2016,92581,STK,1
2016,92582,STK,5
2016,92583,STK,17
2016,92584,STK,15
2016,92585,STK,4
2016,92586,STK,31
2016,92587,STK,8
2016,92588,STK,0
2016,92589,STK,1
2016,92590,STK,1
2016,92591,STK,12
2016,92592,STK,19
2016,92593,STK,0
2016,92595,STK,13
2016,92596,STK,5
2016,92602,STK,2
2016,92603,STK,3
2016,92604,STK,12
2016,92606,STK,3
2016,92609,STK,0
2016,92610,STK,2
2016,92612,STK,10
2016,92613,STK,0
2016,92614,STK,3
2016,92617,STK,0
2016,92618,STK,7
2016,92620,STK,18
2016,92621,STK,1
2016,92624,STK,2
2016,92625,STK,8
2016,92626,STK,24
2016,92627,STK,14
2016,92628,STK,0
2016,92629,STK,14
2016,92630,STK,33
2016,92633,STK,1
2016,92637,STK,37
2016,92638,STK,0
2016,92640,STK,0
2016,92641,STK,0
2016,92642,STK,0
2016,92643,STK,0
2016,92646,STK,26
2016,92647,STK,20
2016,92648,STK,23
2016,92649,STK,19
2016,92651,STK,11
2016,92652,STK,1
2016,92653,STK,17
2016,92655,STK,3
2016,92656,STK,9
2016,92657,STK,5
2016,92658,STK,0
2016,92660,STK,17
2016,92661,STK,2
2016,92662,STK,2
2016,92663,STK,13
2016,92664,STK,0
2016,92665,STK,0
2016,92666,STK,0
2016,92667,STK,0
2016,92668,STK,0
2016,92669,STK,0
2016,92672,STK,23
2016,92673,STK,17
2016,92675,STK,23
2016,92676,STK,2
2016,92677,STK,39
2016,92678,STK,0
2016,92679,STK,6
2016,92680,STK,0
2016,92682,STK,0
2016,92683,STK,44
2016,92686,STK,0
2016,92688,STK,10
2016,92689,STK,0
2016,92690,STK,0
2016,92691,STK,36
2016,92692,STK,26
2016,92693,STK,0
2016,92694,STK,2
2016,92700,STK,0
2016,92701,STK,8
2016,92702,STK,0
2016,92703,STK,18
2016,92704,STK,24
2016,92705,STK,27
2016,92706,STK,14
2016,92707,STK,16
2016,92708,STK,35
2016,92714,STK,1
2016,92715,STK,0
2016,92716,STK,0
2016,92726,STK,0
2016,92736,STK,0
2016,92745,STK,1
2016,92750,STK,0
2016,92764,STK,0
2016,92765,STK,0
2016,92775,STK,0
2016,92780,STK,16
2016,92782,STK,5
2016,92783,STK,0
2016,92785,STK,0
2016,92786,STK,0
2016,92801,STK,29
2016,92802,STK,16
2016,92803,STK,2
2016,92804,STK,35
2016,92805,STK,14
2016,92806,STK,10
2016,92807,STK,28
2016,92808,STK,7
2016,92809,STK,0
2016,92813,STK,0
2016,92815,STK,0
2016,92818,STK,0
2016,92821,STK,17
2016,92823,STK,4
2016,92824,STK,0
2016,92825,STK,0
2016,92827,STK,0
2016,92830,STK,0
2016,92831,STK,14
2016,92832,STK,13
2016,92833,STK,33
2016,92834,STK,0
2016,92835,STK,25
2016,92837,STK,0
2016,92838,STK,0
2016,92840,STK,30
2016,92841,STK,10
2016,92842,STK,0
2016,92843,STK,17
2016,92844,STK,5
2016,92845,STK,14
2016,92856,STK,0
2016,92860,STK,9
2016,92861,STK,6
2016,92863,STK,0
2016,92865,STK,16
2016,92866,STK,10
2016,92867,STK,13
2016,92868,STK,12
2016,92869,STK,23
2016,92870,STK,21
2016,92872,STK,0
2016,92878,STK,0
2016,92879,STK,17
2016,92880,STK,13
2016,92881,STK,12
2016,92882,STK,24
2016,92883,STK,7
2016,92885,STK,0
2016,92886,STK,16
2016,92887,STK,9
2016,92891,STK,1
2016,92892,STK,0
2016,92896,STK,0
2016,92920,STK,0
2016,92923,STK,0
2016,92928,STK,0
2016,92935,STK,1
2016,92948,STK,0
2016,92950,STK,0
2016,92955,STK,0
2016,92956,STK,0
2016,92961,STK,0
2016,92970,STK,0
2016,92973,STK,0
2016,92978,STK,0
2016,93001,STK,11
2016,93002,STK,0
2016,93003,STK,38
2016,93004,STK,16
2016,93007,STK,0
2016,93010,STK,35
2016,93012,STK,29
2016,93013,STK,7
2016,93015,STK,8
2016,93018,STK,0
2016,93021,STK,5
2016,93022,STK,1
2016,93023,STK,15
2016,93030,STK,17
2016,93033,STK,31
2016,93035,STK,12
2016,93036,STK,8
2016,93040,STK,1
2016,93041,STK,10
2016,93043,STK,0
2016,93044,STK,0
2016,93045,STK,0
2016,93060,STK,18
2016,93062,STK,0
2016,93063,STK,28
2016,93065,STK,22
2016,93066,STK,4
2016,93067,STK,0
2016,93101,STK,12
2016,93102,STK,0
2016,93103,STK,10
2016,93105,STK,21
2016,93106,STK,0
2016,93108,STK,11
2016,93109,STK,5
2016,93110,STK,10
2016,93111,STK,9
2016,93117,STK,15
2016,93120,STK,0
2016,93121,STK,0
2016,93124,STK,0
2016,93141,STK,0
2016,93162,STK,0
2016,93167,STK,0
2016,93201,STK,0
2016,93202,STK,0
2016,93203,STK,3
2016,93204,STK,1
2016,93205,STK,2
2016,93206,STK,0
2016,93207,STK,0
2016,93208,STK,0
2016,93210,STK,8
2016,93211,STK,0
2016,93212,STK,7
2016,93215,STK,4
2016,93216,STK,0
2016,93218,STK,2
2016,93219,STK,3
2016,93221,STK,4
2016,93222,STK,1
2016,93223,STK,1
2016,93224,STK,0
2016,93225,STK,3
2016,93226,STK,0
2016,93227,STK,0
2016,93230,STK,28
2016,93234,STK,1
2016,93235,STK,0
2016,93238,STK,3
2016,93239,STK,0
2016,93240,STK,4
2016,93241,STK,6
2016,93242,STK,1
2016,93243,STK,0
2016,93244,STK,1
2016,93245,STK,10
2016,93247,STK,7
2016,93249,STK,0
2016,93250,STK,3
2016,93252,STK,1
2016,93254,STK,0
2016,93255,STK,0
2016,93256,STK,2
2016,93257,STK,29
2016,93258,STK,0
2016,93260,STK,1
2016,93261,STK,0
2016,93263,STK,7
2016,93265,STK,2
2016,93266,STK,0
2016,93267,STK,1
2016,93268,STK,3
2016,93270,STK,2
2016,93271,STK,2
2016,93272,STK,0
2016,93274,STK,30
2016,93276,STK,0
2016,93277,STK,23
2016,93280,STK,6
2016,93283,STK,0
2016,93285,STK,3
2016,93286,STK,1
2016,93287,STK,0
2016,93291,STK,20
2016,93292,STK,12
2016,93295,STK,0
2016,93301,STK,5
2016,93302,STK,0
2016,93303,STK,0
2016,93304,STK,24
2016,93305,STK,14
2016,93306,STK,25
2016,93307,STK,21
2016,93308,STK,13
2016,93309,STK,21
2016,93310,STK,0
2016,93311,STK,12
2016,93312,STK,25
2016,93313,STK,16
2016,93314,STK,6
2016,93319,STK,0
2016,93346,STK,0
2016,93350,STK,0
2016,93362,STK,0
2016,93390,STK,0
2016,93401,STK,22
2016,93402,STK,6
2016,93405,STK,12
2016,93406,STK,0
2016,93409,STK,1
2016,93420,STK,22
2016,93422,STK,40
2016,93423,STK,0
2016,93424,STK,2
2016,93426,STK,0
2016,93427,STK,1
2016,93428,STK,2
2016,93429,STK,0
2016,93430,STK,3
2016,93432,STK,0
2016,93433,STK,2
2016,93434,STK,4
2016,93436,STK,25
2016,93437,STK,0
2016,93440,STK,0
2016,93441,STK,0
2016,93442,STK,13
2016,93443,STK,0
2016,93444,STK,11
2016,93445,STK,1
2016,93446,STK,39
2016,93447,STK,0
2016,93449,STK,6
2016,93450,STK,0
2016,93451,STK,3
2016,93452,STK,0
2016,93453,STK,2
2016,93454,STK,23
2016,93455,STK,22
2016,93457,STK,0
2016,93458,STK,14
2016,93460,STK,4
2016,93461,STK,1
2016,93463,STK,4
2016,93465,STK,14
2016,93466,STK,1
2016,93475,STK,0
2016,93476,STK,0
2016,93483,STK,0
2016,93489,STK,0
2016,93496,STK,0
2016,93501,STK,2
2016,93504,STK,0
2016,93505,STK,7
2016,93506,STK,0
2016,93510,STK,0
2016,93512,STK,0
2016,93513,STK,0
2016,93514,STK,9
2016,93515,STK,0
2016,93516,STK,0
2016,93517,STK,1
2016,93518,STK,1
2016,93519,STK,0
2016,93522,STK,0
2016,93523,STK,0
2016,93524,STK,0
2016,93526,STK,0
2016,93527,STK,2
2016,93528,STK,0
2016,93529,STK,0
2016,93530,STK,0
2016,93531,STK,0
2016,93532,STK,1
2016,93533,STK,0
2016,93534,STK,17
2016,93535,STK,20
2016,93536,STK,13
2016,93539,STK,0
2016,93540,STK,0
2016,93542,STK,0
2016,93543,STK,1
2016,93544,STK,2
2016,93545,STK,0
2016,93546,STK,0
2016,93549,STK,0
2016,93550,STK,22
2016,93551,STK,13
2016,93552,STK,8
2016,93553,STK,2
2016,93554,STK,0
2016,93555,STK,18
2016,93558,STK,0
2016,93560,STK,3
2016,93561,STK,9
2016,93562,STK,2
2016,93563,STK,0
2016,93564,STK,0
2016,93584,STK,0
2016,93586,STK,0
2016,93590,STK,0
2016,93591,STK,1
2016,93592,STK,0
2016,93594,STK,0
2016,93601,STK,1
2016,93602,STK,1
2016,93603,STK,0
2016,93604,STK,0
2016,93606,STK,0
2016,93607,STK,0
2016,93609,STK,1
2016,93610,STK,10
2016,93611,STK,21
2016,93612,STK,17
2016,93614,STK,12
2016,93615,STK,1
2016,93616,STK,2
2016,93618,STK,10
2016,93619,STK,14
2016,93620,STK,1
2016,93621,STK,0
2016,93622,STK,4
2016,93623,STK,0
2016,93625,STK,0
2016,93626,STK,2
2016,93627,STK,0
2016,93630,STK,6
2016,93631,STK,3
2016,93634,STK,0
2016,93635,STK,10
2016,93636,STK,13
