Year,zipCode,causeOfDeath,Count
2016,91606,Stroke,23
2016,91607,Stroke,13
2016,91608,Stroke,0
2016,91609,Stroke,1
2016,91610,Stroke,1
2016,91620,Stroke,0
2016,91654,Stroke,0
2016,91660,Stroke,1
2016,91701,Stroke,21
2016,91702,Stroke,8
2016,91703,Stroke,0
2016,91704,Stroke,0
2016,91705,Stroke,1
2016,91706,Stroke,26
2016,91707,Stroke,0
2016,91708,Stroke,1
2016,91709,Stroke,16
2016,91710,Stroke,32
2016,91711,Stroke,22
2016,91712,Stroke,0
2016,91714,Stroke,0
2016,91716,Stroke,0
2016,91720,Stroke,1
2016,91722,Stroke,12
2016,91723,Stroke,10
2016,91724,Stroke,12
2016,91729,Stroke,0
2016,91730,Stroke,17
2016,91731,Stroke,8
2016,91732,Stroke,14
2016,91733,Stroke,12
2016,91734,Stroke,0
2016,91735,Stroke,0
2016,91736,Stroke,0
2016,91737,Stroke,3
2016,91739,Stroke,11
2016,91740,Stroke,15
2016,91741,Stroke,10
2016,91744,Stroke,26
2016,91745,Stroke,23
2016,91746,Stroke,9
2016,91748,Stroke,15
2016,91750,Stroke,17
2016,91751,Stroke,0
2016,91752,Stroke,5
2016,91754,Stroke,31
2016,91755,Stroke,15
2016,91756,Stroke,0
2016,91759,Stroke,0
2016,91760,Stroke,1
2016,91761,Stroke,13
2016,91762,Stroke,16
2016,91763,Stroke,8
2016,91764,Stroke,17
2016,91765,Stroke,13
2016,91766,Stroke,22
2016,91767,Stroke,16
2016,91768,Stroke,12
2016,91770,Stroke,25
2016,91772,Stroke,0
2016,91773,Stroke,11
2016,91774,Stroke,0
2016,91775,Stroke,6
2016,91776,Stroke,12
2016,91778,Stroke,0
2016,91779,Stroke,0
2016,91780,Stroke,20
2016,91784,Stroke,13
2016,91785,Stroke,0
2016,91786,Stroke,15
2016,91788,Stroke,0
2016,91789,Stroke,21
2016,91790,Stroke,19
2016,91791,Stroke,23
2016,91792,Stroke,15
2016,91798,Stroke,0
2016,91801,Stroke,29
2016,91802,Stroke,0
2016,91803,Stroke,11
2016,91809,Stroke,0
2016,91814,Stroke,0
2016,91860,Stroke,0
2016,91901,Stroke,10
2016,91902,Stroke,15
2016,91905,Stroke,2
2016,91906,Stroke,2
2016,91909,Stroke,0
2016,91910,Stroke,41
2016,91911,Stroke,40
2016,91913,Stroke,6
2016,91914,Stroke,6
2016,91915,Stroke,4
2016,91916,Stroke,1
2016,91917,Stroke,1
2016,91922,Stroke,0
2016,91923,Stroke,0
2016,91928,Stroke,0
2016,91931,Stroke,1
2016,91932,Stroke,9
2016,91934,Stroke,0
2016,91935,Stroke,5
2016,91941,Stroke,23
2016,91942,Stroke,29
2016,91945,Stroke,16
2016,91948,Stroke,0
2016,91950,Stroke,42
2016,91954,Stroke,0
2016,91962,Stroke,0
2016,91963,Stroke,0
2016,91971,Stroke,0
2016,91974,Stroke,0
2016,91977,Stroke,26
2016,91978,Stroke,4
2016,91980,Stroke,1
2016,92003,Stroke,4
2016,92004,Stroke,1
2016,92007,Stroke,2
2016,92008,Stroke,18
2016,92009,Stroke,25
2016,92010,Stroke,10
2016,92011,Stroke,9
2016,92013,Stroke,0
2016,92014,Stroke,6
2016,92015,Stroke,0
2016,92016,Stroke,0
2016,92017,Stroke,0
2016,92018,Stroke,0
2016,92019,Stroke,25
2016,92020,Stroke,35
2016,92021,Stroke,34
2016,92022,Stroke,0
2016,92024,Stroke,26
2016,92025,Stroke,20
2016,92026,Stroke,24
2016,92027,Stroke,27
2016,92028,Stroke,29
2016,92029,Stroke,11
2016,92031,Stroke,0
2016,92036,Stroke,2
2016,92037,Stroke,20
2016,92040,Stroke,16
2016,92041,Stroke,1
2016,92045,Stroke,0
2016,92049,Stroke,0
2016,92051,Stroke,0
2016,92053,Stroke,0
2016,92054,Stroke,16
2016,92055,Stroke,0
2016,92056,Stroke,34
2016,92057,Stroke,25
2016,92058,Stroke,9
2016,92059,Stroke,3
2016,92060,Stroke,0
2016,92061,Stroke,2
2016,92064,Stroke,20
2016,92065,Stroke,3
2016,92066,Stroke,0
2016,92067,Stroke,6
2016,92069,Stroke,8
2016,92070,Stroke,0
2016,92071,Stroke,24
2016,92073,Stroke,0
2016,92074,Stroke,1
2016,92075,Stroke,4
2016,92076,Stroke,0
2016,92077,Stroke,0
2016,92078,Stroke,28
2016,92079,Stroke,0
2016,92081,Stroke,6
2016,92082,Stroke,11
2016,92083,Stroke,18
2016,92084,Stroke,24
2016,92085,Stroke,0
2016,92086,Stroke,0
2016,92089,Stroke,0
2016,92091,Stroke,2
2016,92092,Stroke,0
2016,92100,Stroke,0
2016,92101,Stroke,19
2016,92102,Stroke,10
2016,92103,Stroke,10
2016,92104,Stroke,10
2016,92105,Stroke,39
2016,92106,Stroke,10
2016,92107,Stroke,6
2016,92108,Stroke,6
2016,92109,Stroke,17
2016,92110,Stroke,11
2016,92111,Stroke,21
2016,92112,Stroke,1
2016,92113,Stroke,14
2016,92114,Stroke,32
2016,92115,Stroke,16
2016,92116,Stroke,8
2016,92117,Stroke,35
2016,92118,Stroke,14
2016,92119,Stroke,12
2016,92120,Stroke,20
2016,92121,Stroke,1
2016,92122,Stroke,20
2016,92123,Stroke,14
2016,92124,Stroke,6
2016,92126,Stroke,26
2016,92127,Stroke,15
2016,92128,Stroke,28
2016,92129,Stroke,10
2016,92130,Stroke,8
2016,92131,Stroke,8
2016,92134,Stroke,0
2016,92135,Stroke,0
2016,92136,Stroke,0
2016,92137,Stroke,0
2016,92139,Stroke,17
2016,92141,Stroke,0
2016,92143,Stroke,0
2016,92144,Stroke,0
2016,92150,Stroke,0
2016,92151,Stroke,0
2016,92152,Stroke,0
2016,92154,Stroke,30
2016,92155,Stroke,0
2016,92160,Stroke,0
2016,92161,Stroke,0
2016,92168,Stroke,0
2016,92169,Stroke,1
2016,92173,Stroke,7
2016,92179,Stroke,0
2016,92192,Stroke,0
2016,92200,Stroke,0
2016,92201,Stroke,23
2016,92203,Stroke,5
2016,92206,Stroke,0
2016,92210,Stroke,7
2016,92211,Stroke,29
2016,92213,Stroke,0
2016,92216,Stroke,0
2016,92220,Stroke,17
2016,92222,Stroke,0
2016,92223,Stroke,12
2016,92224,Stroke,0
2016,92225,Stroke,8
2016,92227,Stroke,10
2016,92228,Stroke,1
2016,92230,Stroke,2
2016,92231,Stroke,10
2016,92232,Stroke,0
2016,92233,Stroke,1
2016,92234,Stroke,21
2016,92236,Stroke,7
2016,92239,Stroke,0
2016,92240,Stroke,23
2016,92241,Stroke,6
2016,92242,Stroke,1
2016,92243,Stroke,19
2016,92244,Stroke,0
2016,92247,Stroke,0
2016,92249,Stroke,4
2016,92250,Stroke,1
2016,92251,Stroke,5
2016,92252,Stroke,5
2016,92253,Stroke,23
2016,92254,Stroke,1
2016,92256,Stroke,1
2016,92257,Stroke,2
2016,92258,Stroke,0
2016,92259,Stroke,0
2016,92260,Stroke,28
2016,92262,Stroke,17
2016,92263,Stroke,0
2016,92264,Stroke,16
2016,92266,Stroke,0
2016,92267,Stroke,0
2016,92268,Stroke,0
2016,92270,Stroke,15
2016,92272,Stroke,0
2016,92273,Stroke,0
2016,92274,Stroke,6
2016,92275,Stroke,3
2016,92276,Stroke,6
2016,92277,Stroke,3
2016,92278,Stroke,0
2016,92280,Stroke,0
2016,92281,Stroke,2
2016,92282,Stroke,0
2016,92283,Stroke,1
2016,92284,Stroke,13
2016,92285,Stroke,2
2016,92286,Stroke,0
2016,92287,Stroke,1
2016,92291,Stroke,0
2016,92301,Stroke,4
2016,92304,Stroke,0
2016,92305,Stroke,1
2016,92306,Stroke,0
2016,92307,Stroke,21
2016,92308,Stroke,22
2016,92309,Stroke,0
2016,92310,Stroke,0
2016,92311,Stroke,15
2016,92312,Stroke,1
2016,92313,Stroke,4
2016,92314,Stroke,1
2016,92315,Stroke,5
2016,92316,Stroke,4
2016,92317,Stroke,0
2016,92320,Stroke,10
2016,92321,Stroke,2
2016,92322,Stroke,1
2016,92323,Stroke,0
2016,92324,Stroke,17
2016,92325,Stroke,4
2016,92326,Stroke,0
2016,92327,Stroke,0
2016,92329,Stroke,0
2016,92330,Stroke,0
2016,92331,Stroke,0
2016,92332,Stroke,0
2016,92333,Stroke,1
2016,92334,Stroke,0
2016,92335,Stroke,18
2016,92336,Stroke,24
2016,92337,Stroke,9
2016,92338,Stroke,0
2016,92339,Stroke,0
2016,92340,Stroke,0
2016,92341,Stroke,0
2016,92342,Stroke,1
2016,92344,Stroke,9
2016,92345,Stroke,36
2016,92346,Stroke,24
2016,92347,Stroke,0
2016,92349,Stroke,0
2016,92350,Stroke,0
2016,92351,Stroke,0
2016,92352,Stroke,3
2016,92353,Stroke,0
2016,92354,Stroke,9
2016,92355,Stroke,0
2016,92356,Stroke,6
2016,92357,Stroke,0
2016,92358,Stroke,1
2016,92359,Stroke,6
2016,92360,Stroke,0
2016,92361,Stroke,0
2016,92363,Stroke,3
2016,92365,Stroke,0
2016,92366,Stroke,0
2016,92367,Stroke,0
2016,92368,Stroke,1
2016,92369,Stroke,0
2016,92370,Stroke,0
2016,92371,Stroke,9
2016,92372,Stroke,1
2016,92373,Stroke,19
2016,92374,Stroke,25
2016,92376,Stroke,27
2016,92377,Stroke,6
2016,92378,Stroke,0
2016,92382,Stroke,1
2016,92384,Stroke,0
2016,92385,Stroke,0
2016,92386,Stroke,0
2016,92387,Stroke,0
2016,92388,Stroke,0
2016,92389,Stroke,0
2016,92391,Stroke,0
2016,92392,Stroke,22
2016,92393,Stroke,1
2016,92394,Stroke,6
2016,92395,Stroke,31
2016,92396,Stroke,0
2016,92397,Stroke,1
2016,92398,Stroke,1
2016,92399,Stroke,35
2016,92401,Stroke,1
2016,92402,Stroke,0
2016,92403,Stroke,0
2016,92404,Stroke,37
2016,92405,Stroke,11
2016,92406,Stroke,0
2016,92407,Stroke,25
2016,92408,Stroke,4
2016,92409,Stroke,0
2016,92410,Stroke,15
2016,92411,Stroke,7
2016,92414,Stroke,1
2016,92415,Stroke,0
2016,92423,Stroke,0
2016,92436,Stroke,0
2016,92440,Stroke,0
2016,92446,Stroke,0
2016,92501,Stroke,9
2016,92502,Stroke,0
2016,92503,Stroke,26
2016,92504,Stroke,19
2016,92505,Stroke,15
2016,92506,Stroke,25
2016,92507,Stroke,14
2016,92508,Stroke,11
2016,92509,Stroke,27
2016,92517,Stroke,0
2016,92518,Stroke,0
2016,92520,Stroke,0
2016,92522,Stroke,0
2016,92525,Stroke,0
2016,92526,Stroke,0
2016,92530,Stroke,12
2016,92532,Stroke,2
2016,92533,Stroke,0
2016,92534,Stroke,0
2016,92535,Stroke,0
2016,92536,Stroke,0
2016,92539,Stroke,2
2016,92542,Stroke,0
2016,92543,Stroke,23
2016,92544,Stroke,35
2016,92545,Stroke,43
2016,92546,Stroke,0
2016,92547,Stroke,0
2016,92548,Stroke,0
2016,92549,Stroke,1
2016,92551,Stroke,9
2016,92553,Stroke,13
2016,92554,Stroke,0
2016,92555,Stroke,13
2016,92556,Stroke,0
2016,92557,Stroke,14
2016,92558,Stroke,1
2016,92560,Stroke,0
2016,92561,Stroke,0
2016,92562,Stroke,29
2016,92563,Stroke,23
2016,92565,Stroke,0
2016,92567,Stroke,4
2016,92568,Stroke,0
2016,92569,Stroke,0
2016,92570,Stroke,12
2016,92571,Stroke,9
2016,92572,Stroke,0
2016,92573,Stroke,0
2016,92575,Stroke,0
2016,92576,Stroke,0
2016,92581,Stroke,1
2016,92582,Stroke,5
2016,92583,Stroke,17
2016,92584,Stroke,15
2016,92585,Stroke,4
2016,92586,Stroke,31
2016,92587,Stroke,8
2016,92588,Stroke,0
2016,92589,Stroke,1
2016,92590,Stroke,1
2016,92591,Stroke,12
2016,92592,Stroke,19
2016,92593,Stroke,0
2016,92595,Stroke,13
2016,92596,Stroke,5
2016,92602,Stroke,2
2016,92603,Stroke,3
2016,92604,Stroke,12
2016,92606,Stroke,3
2016,92609,Stroke,0
2016,92610,Stroke,2
2016,92612,Stroke,10
2016,92613,Stroke,0
2016,92614,Stroke,3
2016,92617,Stroke,0
2016,92618,Stroke,7
2016,92620,Stroke,18
2016,92621,Stroke,1
2016,92624,Stroke,2
2016,92625,Stroke,8
2016,92626,Stroke,24
2016,92627,Stroke,14
2016,92628,Stroke,0
2016,92629,Stroke,14
2016,92630,Stroke,33
2016,92633,Stroke,1
2016,92637,Stroke,37
2016,92638,Stroke,0
2016,92640,Stroke,0
2016,92641,Stroke,0
2016,92642,Stroke,0
2016,92643,Stroke,0
2016,92646,Stroke,26
2016,92647,Stroke,20
2016,92648,Stroke,23
2016,92649,Stroke,19
2016,92651,Stroke,11
2016,92652,Stroke,1
2016,92653,Stroke,17
2016,92655,Stroke,3
2016,92656,Stroke,9
2016,92657,Stroke,5
2016,92658,Stroke,0
2016,92660,Stroke,17
2016,92661,Stroke,2
2016,92662,Stroke,2
2016,92663,Stroke,13
2016,92664,Stroke,0
2016,92665,Stroke,0
2016,92666,Stroke,0
2016,92667,Stroke,0
2016,92668,Stroke,0
2016,92669,Stroke,0
2016,92672,Stroke,23
2016,92673,Stroke,17
2016,92675,Stroke,23
2016,92676,Stroke,2
2016,92677,Stroke,39
2016,92678,Stroke,0
2016,92679,Stroke,6
2016,92680,Stroke,0
2016,92682,Stroke,0
2016,92683,Stroke,44
2016,92686,Stroke,0
2016,92688,Stroke,10
2016,92689,Stroke,0
2016,92690,Stroke,0
2016,92691,Stroke,36
2016,92692,Stroke,26
2016,92693,Stroke,0
2016,92694,Stroke,2
2016,92700,Stroke,0
2016,92701,Stroke,8
2016,92702,Stroke,0
2016,92703,Stroke,18
2016,92704,Stroke,24
2016,92705,Stroke,27
2016,92706,Stroke,14
2016,92707,Stroke,16
2016,92708,Stroke,35
2016,92714,Stroke,1
2016,92715,Stroke,0
2016,92716,Stroke,0
2016,92726,Stroke,0
2016,92736,Stroke,0
2016,92745,Stroke,1
2016,92750,Stroke,0
2016,92764,Stroke,0
2016,92765,Stroke,0
2016,92775,Stroke,0
2016,92780,Stroke,16
